NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,IMPORTER COUNTRY,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,PORT OF DEPARTURE,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,Final Qty,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS
11,30-01-2021,10063010,"Rice, parboiled",SHUVO ENTERPRISE,.,Bangladesh,Bangladesh,.,.,.,.,NAZRUL ENTERPRISE,GHOJADANGA LCS,"VILL.- PURBAPARA,  P.O.& P.S. - BONGAON ,24 PARGANAS(N) ,W.B. ,PIN-743235 ,03215-255863/257442/56582 ,sriba skundu@rediffmail.com",India,30330.12,0.00,USD,0.00,,0.00,,87.50,87.50,MTS,NON BASMOTI RICE (A.P.I.),0.00,,,,,,BHOMRA,GHOJADANGA LCS,,,0.00,,,,,,,,,0,0
12,30-01-2021,10063090,Semi-Milled Or Wholly Milled Rice,CITY FLOUR MILL,.,Bangladesh,Bangladesh,.,.,.,.,"BRIJ KISHORE PRASAD ASHRAMPARA, PAK",,,India,40000.00,0.00,USD,100000.00,Kg.,102000.00,Kg.,0.00,102000.00,KGS,NON BASMOTI RICE,0.00,BG,,,,,Banglabandha,,Ms Shetu International,,0.00,,,,,,,,,0,0
13,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),DEBNATH BIPONI,.,Bangladesh,Bangladesh,.,.,.,.,B K ENTERPRISE,GHOJADANGA LCS,"SUBASHNAGAR. BADURIA,BONGAON   ,BONGAON,WEST BENGAL ,PIN-743235 ,919830589858 ,skywave.banti@gmail.com",India,65236.00,0.00,USD,0.00,,0.00,,200.00,200.00,MTS,INDIAN RICE (NON BASMOTI) (API),0.00,,,,,,BHOMRA,GHOJADANGA LCS,,,0.00,,,,,,,,,0,0
14,30-01-2021,10063010,"Rice, parboiled",SHAPLA TRADERS,.,Bangladesh,Bangladesh,.,.,.,.,PANNALAL EXPORTS PRIVATE LIMITED,HILLI LCS,", , , ,",India,19357.42,0.00,USD,0.00,,0.00,,47.00,47.00,MTS,NON BASMOTI BOILED RICE,0.00,,,,,,HILI LCS,HILLI LCS,,,0.00,,,,,,,,,0,0
15,30-01-2021,10063020,Basmati Rice,EGYPT,.,Egypt,Egypt,.,.,.,https://egypt.travel,JANKI DASS RICE MILLS,MUNDRA SEA (INMUN1),"NADANA ROAD,   ,TARAORI, DISTT.KARNAL(HRY) ,132116 ,01745-42281 ,jankidassrice@gmail.com",India,44880.00,0.00,USD,0.00,,0.00,,48.00,48.00,MTS,"INDIAN 1121 PARBOILED GOLDEN RICE,PACKED",0.00,,,,,,Damietta,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
16,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),ENTRE NOUS,.,France,France,.,.,.,.,A.DURAISAMY MODERN RICE MILL,TUTICORIN SEA (INTUT1),"4/354, KARIA PERUMAL KARADU ROAD,NETHIMEDU,   ,SALEM ,636002 ,0427-2222432 ,admrmsalem@gmail.com/gopinathds@yahoo.com",India,410.00,0.00,USD,0.00,,0.00,,500.00,500.00,KGS,SONA MASOORI RICE - ( BRAND - RETTAI KIL I CLASSIC ),0.00,,,,,,Le Havre,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
17,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),ENTRE NOUS,.,France,France,.,.,.,.,A.DURAISAMY MODERN RICE MILL,TUTICORIN SEA (INTUT1),"4/354, KARIA PERUMAL KARADU ROAD,NETHIMEDU,   ,SALEM ,636002 ,0427-2222432 ,admrmsalem@gmail.com/gopinathds@yahoo.com",India,1400.00,0.00,USD,0.00,,0.00,,1000.00,1000.00,KGS,SEERAGA SAMBA RICE - ( BRAND - RETTAI KI LI CLASSIC ),0.00,,,,,,Le Havre,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
18,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),ENTRE NOUS,.,France,France,.,.,.,.,A.DURAISAMY MODERN RICE MILL,TUTICORIN SEA (INTUT1),"4/354, KARIA PERUMAL KARADU ROAD,NETHIMEDU,   ,SALEM ,636002 ,0427-2222432 ,admrmsalem@gmail.com/gopinathds@yahoo.com",India,4000.00,0.00,USD,0.00,,0.00,,5000.00,5000.00,KGS,SONA MASOORI RICE ( BRAND - ANNACHI ),0.00,,,,,,Le Havre,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
19,30-01-2021,10063020,Basmati Rice,ARYA PAMCHAL NAGHSHE JAHAN,.,Iran,Iran,.,.,.,.,BHARAT CEREALS PVT. LTD.,MUNDRA SEA (INMUN1),"BP 109 PITAMPURAnullDELHI   ,DELHI ,0 ,27312778 ,bharatcereals12@gmail.com",India,212400.00,0.00,USD,0.00,,0.00,,360.00,360.00,MTS,"INDIAN 1121 SELLA RICE,PKD IN 10KG NON W",0.00,,,,,,Bandar Abbas,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
20,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),DAMRO IMPEX LTD.,.,Kenya,KE - Kenya,.,.,.,.,SCM AGROTECH ENTERPRISES PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),"165&166A,ZONE1-M.P NAGAR,   ,BHOPAL,MADHYA PRADESH ,PIN-462011 ,919893377747 ,sahib_gangwani@hotmail.com",India,111780.00,0.00,USD,0.00,,0.00,,270.00,270.00,MTS,INDIAN LONG GRAIN WHITE RICE GRADE III V,0.00,,,,,,Mombasa,NHAVA SHEVA SEA (INNSA1),,,0.00,,,,,,,,,0,0
21,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),EXPORT TRADING COLTD.,.,Kenya,Kenya,.,.,.,.,JAY ANAND FOOD INDUSTRIES,NHAVA SHEVA SEA (INNSA1),"FLAT NO.202, 2ND FLOOR, PARISHRAM  BUILDING, NEXT ANAND LOADGING ,BOARDING, SHAHAD ST. WEST,KALYAN ,PIN-421301 , ,fjayanand2012@gmail.com",India,51153.70,0.00,USD,0.00,,0.00,,130.00,130.00,MTS,INDIAN LONG GRAIN WHITE RICE - GRADE 2 5,0.00,,,,,,Mombasa,NHAVA SHEVA SEA (INNSA1),,,0.00,,,,,,,,,0,0
22,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),EXPORT TRADING COLTD.,.,Kenya,Kenya,.,.,.,.,JAY ANAND FOOD INDUSTRIES,NHAVA SHEVA SEA (INNSA1),"FLAT NO.202, 2ND FLOOR, PARISHRAM  BUILDING, NEXT ANAND LOADGING ,BOARDING, SHAHAD ST. WEST,KALYAN ,PIN-421301 , ,fjayanand2012@gmail.com",India,48068.80,0.00,USD,0.00,,0.00,,130.00,130.00,MTS,INDIAN LONG GRAIN WHITE RICE - GRADE 2 5 0 KGS PP BAGS,0.00,,,,,,Mombasa,NHAVA SHEVA SEA (INNSA1),,,0.00,,,,,,,,,0,0
23,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),HASSAN COMMODITIESLTD.,40380 MOMBASA,Kenya,Kenya,.,.,.,.,SCM AGROTECH ENTERPRISES PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),"165&166A,ZONE1-M.P NAGAR,   ,BHOPAL,MADHYA PRADESH ,PIN-462011 ,919893377747 ,sahib_gangwani@hotmail.com",India,24571.35,0.00,USD,0.00,,0.00,,81.00,81.00,MTS,INDIAN LONG GRAIN WHITE RICE VARIETY NON BASMATI RICE Packing in 25 KG BOPP BAGS BRAND FINESSE,0.00,,,,,,Mombasa,NHAVA SHEVA SEA (INNSA1),,,0.00,,,,,,,,,0,0
24,30-01-2021,10063020,Basmati Rice,YASEEN MOHAMMED BIN MAHFOOZ EST,.,Saudi Arabia,SA - Saudi Arabia,.,.,.,.,SHREE JAGDAMBA AGRICO EXPORTS PVT. LTD,MUNDRA SEA (INMUN1),"ARIAN PURA ROAD,GHARAUNDA,   ,KARNAL  /HRY/ ,132103 ,252261 ,",India,212500.00,0.00,USD,0.00,,0.00,,250.00,250.00,MTS,"INDIAN BASMATI SELLA RICE 100% SORTEXED,",0.00,,,,,,Jeddah,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
25,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),FAZCO TRADING CO. LTD.,"PO BOX 30461, JEDDAH, 21477, SAUDI ARABIA, SA",Saudi Arabia,SA - Saudi Arabia,.,.,.,.,SHREE JAGDAMBA AGRICO EXPORTS PVT. LTD,MUNDRA SEA (INMUN1),"ARIAN PURA ROAD,GHARAUNDA,   ,KARNAL  /HRY/ ,132103 ,252261 ,",India,132000.00,0.00,USD,0.00,,0.00,,250.00,250.00,MTS,"INDIAN SELA RICE 100 PCT SORTEXED, GRADE",0.00,,,,,,KING ABDULLAH CITY,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
26,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),KHALID DEREA AL-DEREA & HIS PARTNER,.,Saudi Arabia,Saudi Arabia,.,.,.,https://khalidderea.com,GARG RICE MILLS,MUNDRA SEA (INMUN1),"LINK ROAD,   ,TARAORI,DISTT.KARNAL(HRY) ,132116 ,01745-42031,42131 ,",India,142380.00,0.00,USD,0.00,,0.00,,252.00,252.00,MTS,INDIAN SELLA MAZZA RICE (NON BASMATI) PK,0.00,,,,,,Dammam,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
27,30-01-2021,10063020,Basmati Rice,ARCOMA ARABIA COMMERCIAL AGENCY CO,.,Saudi Arabia,Saudi Arabia,.,.,.,https://www.arcoma.com,"GOEL INTERNATIONAL P. LTD.,",JATTIPUR ICD (INDWN6),"SONKRA ROAD,TARAORI   ,KARNAL(HARYANA) ,0 ,01745-42244,42744,43244 ,goelintl@hotmail.com",India,135000.00,0.00,USD,0.00,,0.00,,108.00,108.00,MTS,"INDIAN 1121 RAW CLASSIC BASMATI RICE, CR",0.00,,,,,,Jeddah,JATTIPUR ICD (INDWN6),,,0.00,,,,,,,,,0,0
28,30-01-2021,10063020,Basmati Rice,"ABDULRAHMAN & MOHD, A AZIZ",.,Saudi Arabia,Saudi Arabia,.,.,.,.,D D INTERNATIONAL PRIVATE LIMITED,JATTIPUR ICD (INDWN6),"26,THE MALL,AMRITSAR   ,PUNJAB ,143001 ,2563866,2560866,2211966,2211866 ,ddiga@glide.net.in",India,495827.13,0.00,USD,0.00,,0.00,,461664.00,461664.00,KGS,PURE BASMATI SELLA RICE PACKING IN 08X06,0.00,,,,,,KING ABDULLAH CITY,JATTIPUR ICD (INDWN6),,,0.00,,,,,,,,,0,0
29,30-01-2021,10063010,"Rice, parboiled",DARESTABRAQ TRADING EST,.,Saudi Arabia,Saudi Arabia,.,.,.,,K K R AGRO MILLS PRIVATE LIMITED,COCHIN SEA (INCOK1),"III/678, OKKAL P.O.  KALADY, ERNAKULAM DIST. ,KERALA. ,PIN-683550 ,0484-462422/Fax-0484-2464111 ,export@nirapara.com",India,6808.00,0.00,USD,0.00,,0.00,,8000.00,8000.00,KGS,NIRAPARA SHORT GRAIN RICE 10 KG X1,0.00,,,,,,Riyadh,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
30,30-01-2021,10063020,Basmati Rice,J.P.R.L General Trading LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,SHIV SHAKTI INTERNATIONAL,MUNDRA SEA (INMUN1),"VILL. SAMLEHRI NEAR MITHAPUR   ,AMBALA CANTT./HARYANA ,134003 ,0171-6538002 ,ssrm2004export@yahoo.com",India,17160.00,0.00,USD,0.00,,0.00,,24.00,24.00,MTS,1121 SELLA BASMATI RICE PACKED IN 10KG N,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
31,30-01-2021,10063010,"Rice, parboiled",FARM FRESH FOOD STUFF TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.farmfresh.ae,FARM FRESH,COCHIN SEA (INCOK1),", , , ,",India,810.00,0.00,USD,0.00,,0.00,,1800.00,1800.00,KGS,100 BAGS JAYA RICE 18KGS/BAG (LUT NO: AD 321218684903T),0.00,,,,,,Jebel Ali,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
32,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),EMERGING WORLD FZC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://emergingworldgroup.com,SCM AGROTECH ENTERPRISES PRIVATE LIMITED,MUNDRA SEA (INMUN1),"165&166A,ZONE1-M.P NAGAR,   ,BHOPAL,MADHYA PRADESH ,PIN-462011 ,919893377747 ,sahib_gangwani@hotmail.com",India,38880.00,0.00,USD,0.00,,0.00,,77.76,77.76,MTS,SONA MANSOORI - NON BASMATI RICE - PACKI,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
33,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),JALEEL DISTRIBUTION LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,http://www.jaleeldistribution.com,BARDHAMAN AGRO PRODUCTS I PRIVATE LIMITED,KOLKATA SEA (INCCU1),"VILL- AHALADIPUR, PO. -SHYAMSUNDAR   ,DIST--BURDWAN. W B , ,03451 203092 ,bapindia.pvt.ltd@gmail.com",India,8976.28,0.00,USD,0.00,,0.00,,1396.00,1396.00,NOS,GOBINDO BHOG(NON BASMATI RICE)DTLS.ASPER,0.00,,,,,,Jebel Ali,KOLKATA SEA (INCCU1),,,0.00,,,,,,,,,0,0
34,30-01-2021,10063020,Basmati Rice,HAMID & KUMAR ENTERPRISES LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,HARMAN RICE PVT.LTD,MUNDRA SEA (INMUN1),"387,MODEL TOWN  PHASE-1 ,BATHINDA ,PIN-151001 ,09814994550 ,harmanrice@yahoo.co.in",India,71571.50,0.00,USD,0.00,,0.00,,100.10,100.10,MTS,"BASMATI RICE, PACKED IN 35 KG NON WOVEN",0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
35,30-01-2021,10063010,"Rice, parboiled",LULU HYPER MARKET LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.luluhypermarket.com,FAIR EXPORTS ( INDIA) PVT LTD,COCHIN SEA (INCOK1),"501,  MADHAVA BLDGS,BANDRA KURLA COMPLEX,BANDRA(E)   ,MUMBAI         MAHARASHTRA ,400051 ,6542421/22 02226542421 02226542422 ,fairexpo@bom5.vsnl.net.in",India,120.00,0.00,USD,0.00,,0.00,,160.00,160.00,NOS,500 GM HAND POND RICE,0.00,,,,,,Sharjah,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
36,30-01-2021,10063010,"Rice, parboiled",LULU HYPER MARKET LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.luluhypermarket.com,SRESTA NATURAL BIOPRODUCTS PVT LTD,HYDERABAD ICD (INSNF6),"203 PAVANI ANNEXE, ROADNO.2BANJARA HILLS   ,HYDERABAD.A.P. ,500034 ,27893028 ,info@sresta.com",India,2160.00,0.00,USD,0.00,,0.00,,2.00,2.00,MTS,ORGANIC SONAMASURI RAW RICE BROWN 5 KG(A,0.00,,,,,,Abu Dhabi,HYDERABAD ICD (INSNF6),,,0.00,,,,,,,,,0,0
37,30-01-2021,10063010,"Rice, parboiled",VEL SPICES,.,Australia,Australia,.,.,.,.,AARTHTHI EXPORTS,KATTUPALLI PORT SEA (INKAT1),"NO.B-366, TVS AVENUE,  ANNA NAGARWEST EXTN., 36TH STREET, ,CHENNAI, TAMILNADU. ,PIN-600101 ,26546800 ,aarththiexports@gmail.com",India,5399.10,0.00,USD,0.00,,0.00,,10.00,10.00,MTS,VEL IDLY RICE - 5 KG X 2000 BAGS,0.00,,,,,,Melbourne,KATTUPALLI PORT SEA (INKAT1),,,0.00,,,,,,,,,0,0
38,30-01-2021,10063010,"Rice, parboiled",VEL SPICES,.,Australia,Australia,.,.,.,.,AARTHTHI EXPORTS,KATTUPALLI PORT SEA (INKAT1),"NO.B-366, TVS AVENUE,  ANNA NAGARWEST EXTN., 36TH STREET, ,CHENNAI, TAMILNADU. ,PIN-600101 ,26546800 ,aarththiexports@gmail.com",India,5399.10,0.00,USD,0.00,,0.00,,10.00,10.00,MTS,YOGIE IDLY RICE - 5 KG X 2000 BAGS,0.00,,,,,,Melbourne,KATTUPALLI PORT SEA (INKAT1),,,0.00,,,,,,,,,0,0
39,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),ASIATIC IMPORTERS PTYLTD.,.,Australia,Australia,.,.,.,.,BRAHMINS FOODS INDIA PVT. LTD,COCHIN SEA (INCOK1),"IX/584, MINI INDL. ESTATE ROAD,  THODUPUZHA ,IDUKKI DIST. KERALA ,PIN-685584 ,0486 2223561 ,ho@brahminsgroup.com",India,2880.00,0.00,USD,0.00,,0.00,,4000.00,4000.00,KGS,MATTAVADI RICE 5 KG,0.00,,,,,,Melbourne,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
40,30-01-2021,10063090,Semi-Milled Or Wholly Milled Rice,GLOBAL ENTERPRISE,.,Bangladesh,Bangladesh,.,.,.,.,SOUBHIK EXPORTS LIMITED. INDIA.,,,India,92750.00,0.00,USD,265000.00,Kg.,265530.00,Kg.,0.00,265530.00,KGS,RICE (NON BASMOTI) EX=1390KG,0.00,BG,,,,,Bhomra,,SUNDARBAN AGENCY,,0.00,,,,,,,,,0,0
41,30-01-2021,10063010,"Rice, parboiled",GLOBAL ENTERPRISE,.,Bangladesh,Bangladesh,.,.,.,.,SOUBHIK EXPORTS LIMITED,GHOJADANGA LCS,"LORDS, 7/1, LORD SINHA ROAD,  4TH FLOOR, ROOM .NO.409, ,KOLKATA. WEST BENGAL. ,PIN-700071 ,2282-6836/2611/0281/2566. ,soubhik@cal3.vnsl.net.in",India,101652.00,0.00,USD,0.00,,0.00,,300.00,300.00,MTS,INDIAN RICE ( NON BASMOTI) (API),0.00,,,,,,BHOMRA,GHOJADANGA LCS,,,0.00,,,,,,,,,0,0
42,30-01-2021,10063090,Semi-Milled Or Wholly Milled Rice,RAFSAN TRADERS,.,Bangladesh,Bangladesh,.,.,.,.,"M/S SABITRI TRADERS 3A,RAMMOHAN MUL",,,India,36000.00,0.00,USD,100000.00,Kg.,100200.00,Kg.,0.00,100200.00,KGS,RICE (NON BASMOTI) (EX= 500 KG),0.00,BG,,,,,Bhomra,,HASAN AGENCY (PVT.) LIMITED,,0.00,,,,,,,,,0,0
43,30-01-2021,10063090,Semi-Milled Or Wholly Milled Rice,AL-WALI TRADERS,.,Bangladesh,Bangladesh,.,.,.,.,"M/S. SRIYAN UDYOG PVT LTD KOLKATA,",,,India,39590.00,0.00,USD,107000.00,Kg.,107428.00,Kg.,0.00,107428.00,KGS,RICE ( NON BASMOTI ) EX=496KG,0.00,BG,,,,,Bhomra,,SHAFIQ & ISLAM (PVT.) LTD.,,0.00,,,,,,,,,0,0
44,30-01-2021,10063020,Basmati Rice,RICE & PULSES CANADA INC.,Brampton,Canada,Ontario,.,.,.,.,PUNJAB RICELAND AGRO FOODS PRIVATE LIMITED,KANDLA SEA (INIXY1),"SHOP NO. 02 BHOOMI SQUARE,PLOT NO.  14 SECTOR-19D ,VASHI NAVI MUMBAI,MAHARASHTRA ,PIN-400705 ,919867327700 ,taxgajra@gmail.com",India,7981.07,0.00,USD,0.00,,0.00,,7.28,7.28,MTS,INDIAN BASMATI SELLA RICE PKDIN 8LBS(3.6,0.00,,,,,,Toronto,KANDLA SEA (INIXY1),,,0.00,,,,,,,,,0,0
45,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),VANNI FOODS,.,Canada,Canada,.,.,.,.,DELICIOUS BRAND,CHENNAI SEA (INMAA1),"NO.247, SHELTER ROAD,PALKALAI NAGAR 1ST CROSS STREET, PALAVAKKAM,   ,CHENNAI/TAMILNADU. , ,044-24512752 ,srini_10@rediffmail.com",India,3327.27,0.00,USD,0.00,,0.00,,5454.55,5454.55,KGS,PROVISION ITEMS-M K RICE,0.00,,,,,,Toronto,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
