NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,IMPORTER COUNTRY,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS
11,30-01-2019,10063020,Basmati Rice,SEADA INTERNATIONAL TRADING CO,.,Egypt,Egypt,.,.,.,.,OM SHREE INTERNATIONAL PRIVATE LIMITED,"115,NEW INDIA INDUSTRIAL ESTATE,PLOT NO.33,OFF.MAHAKALI CAVES RD   ,ANDHERI(E)     ,MAHARASHTRA ,400093 ,2687 4851/65 fax:2687 4855 ,omshreeint@eth.net",India,0.00,0.00,USD,0.00,,0.00,,1.00,NOS,REMITTER NAME: SEADA INTERNATIONAL,0.00,,,,,,Alexandra(Egypt),MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
12,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),SARL. K.S.T,.,France,France,.,.,.,.,AISHWARYA OVERSEAS EXPORTERS,"T.C.21/441-2, NEDUMKADU ROAD,  KARAMANA.P.O., ,TRIVANDRUM - KERALA ,PIN-695002 ,0471 - 2341383 ,aishexpo@gmail.com",India,53.00,0.00,EUR,0.00,,0.00,,100.00,KGS,PONNI RICE(20 KG X 5 BAGS),0.00,,,,,,Le Havre,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
13,30-01-2019,10063010,"Rice, parboiled",SARL. K.S.T,.,France,France,.,.,.,.,AISHWARYA OVERSEAS EXPORTERS,"T.C.21/441-2, NEDUMKADU ROAD,  KARAMANA.P.O., ,TRIVANDRUM - KERALA ,PIN-695002 ,0471 - 2341383 ,aishexpo@gmail.com",India,2875.00,0.00,EUR,0.00,,0.00,,5000.00,KGS,MATTA RICE(5 KG X 5 PKT X 200 BAGS),0.00,,,,,,Le Havre,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
14,30-01-2019,10063010,"Rice, parboiled",SARL. K.S.T,.,France,France,.,.,.,.,AISHWARYA OVERSEAS EXPORTERS,"T.C.21/441-2, NEDUMKADU ROAD,  KARAMANA.P.O., ,TRIVANDRUM - KERALA ,PIN-695002 ,0471 - 2341383 ,aishexpo@gmail.com",India,544.00,0.00,EUR,0.00,,0.00,,1000.00,KGS,MATTA RICE(25 KG X 40 BAGS),0.00,,,,,,Le Havre,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
15,30-01-2019,1006301000,"Rice, semi-milled or wholly milled rice, pck > 5kg or bulk",OLAM GHANA LTD.,"17, Dadeban Road, North Industrial Area, P.O. Box Gp 1847",Ghana,Accra,+233 302222200,+233 302227089,ghana@olamnet.com,https://www.olamgroup.com,PANASIA INTERNATIONAL FZCO,,India,1004990.43,1127867.21,GHS,520000.00,Kg.,0.00,,0.00,,INDIAN WHITE RICE 5 PCT BROKEN 50KGS/BAG MAMA AFRICA,10400.00,BG,,,,,,,,,0.00,,,,,,,,,0,0
16,30-01-2019,1006301000,"Rice, semi-milled or wholly milled rice, pck > 5kg or bulk",OLAM GHANA LTD.,"17, Dadeban Road, North Industrial Area, P.O. Box Gp 1847",Ghana,Accra,+233 302222200,+233 302227089,ghana@olamnet.com,https://www.olamgroup.com,PANASIA INTERNATIONAL FZCO,,India,1004990.43,1127867.21,GHS,520000.00,Kg.,0.00,,0.00,,INDIAN WHITE RICE 5 PCT BROKEN 50KGS/BAG MAMA AFRICA,10400.00,BG,,,,,TMA1,,,,0.00,,,,,,,,,0,0
17,30-01-2019,10063010,"Rice, parboiled",MAYA FOODSLTD.,.,Hong Kong,Hong Kong,.,.,.,.,SUVAI FOODS," , , , ,",India,940.00,0.00,SGD,0.00,,0.00,,2000.00,KGS,PARBOILED IDLY RICE 25KG BAGS,0.00,,,,,,Hong Kong,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
18,30-01-2019,10063020,Basmati Rice,SORIN TEJARAT MAYA CO,"TEHRAN, JANNAT ABAD,FIRST 16 METER STREET NO 2,BUILDING NO",Iran,Iran,.,.,.,https://maya-tradingco.com,"SHIV SHAKTI INTER GLOBE EXPORTS PVT, LTD ","578/11 LINK ROAD TARAORI   ,KARNAL /HARYANA ,0 ,01745-242152 ,",India,36501000.00,0.00,INR,0.00,,0.00,,460.00,MTS,"INDIAN 1121 BASMATI SELLA RICE,PKDIN 10K ",0.00,,,,,,Chah-Bahar,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
19,30-01-2019,10063000,"Semi-milled or wholly milled rice, whether or not polished or glazed",KAMLESH JITENDRA DATTANI,46585 Nairobi,Kenya,Kenya,.,.,.,.,DWARKADHISH EXPORTERS,36100 GUJARAT-INDIA,India,39120.70,0.00,KES,0.00,,0.00,,900.00,kg,RICE,0.00,,,,,,ICD,,SKYLINE EXPRESS SERVICES LIMITED,55140 00200 NAIROBI CITY EAST,0.00,,,,,,,,,0,0
20,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),CV. BERKAT USAHA,.,Malaysia,Malaysia,.,.,.,.,JL OCEANOS,"C/602, VARDHAMAN NAGAR, DR. R.P. ROAD,   ,MULUND WEST, MUMBAI, M.S. ,0 ,9920269306 ,jloceanos@outlook.com",India,202800.00,0.00,USD,0.00,,0.00,,520000.00,KGS,NON BASMATI RICE SWARNA 5% BRO.MAX[RAW],0.00,,,,,,Pasir Gudang,KOLKATA SEA (INCCU1),,,0.00,,,,,,,,,0,0
21,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),VECTOR SPLASH HOLDINGS SDN. BHD.,.,Malaysia,Malaysia,.,.,.,.,MDC ENTERPRISES,"68, PERIYANNAN STREET, SEVENWELLS,   ,CHENNAI,TAMIL NADU ,PIN-600001 ,917010921736 ,mathimdc18@gmail.com",India,300.00,0.00,USD,0.00,,0.00,,1000.00,KGS,KURUNAI RICE-25 KGS) We intend to claim,0.00,,,,,,Westport/Port Klang,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
22,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),VECTOR SPLASH HOLDINGS SDN. BHD.,.,Malaysia,Malaysia,.,.,.,.,MDC ENTERPRISES,"68, PERIYANNAN STREET, SEVENWELLS,   ,CHENNAI,TAMIL NADU ,PIN-600001 ,917010921736 ,mathimdc18@gmail.com",India,678.00,0.00,USD,0.00,,0.00,,600.00,KGS,FRIED GRAMS 30-KGS We intend to claim re,0.00,,,,,,Westport/Port Klang,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
23,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),VECTOR SPLASH HOLDINGS SDN. BHD.,.,Malaysia,Malaysia,.,.,.,.,MDC ENTERPRISES,"68, PERIYANNAN STREET, SEVENWELLS,   ,CHENNAI,TAMIL NADU ,PIN-600001 ,917010921736 ,mathimdc18@gmail.com",India,1200.00,0.00,USD,0.00,,0.00,,3000.00,KGS,ORANGE IDLEY RICE-25 KGS) We intend to c,0.00,,,,,,Westport/Port Klang,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
24,30-01-2019,10063020,Basmati Rice,RUFADCOLTD.,.,Nigeria,Nigeria,.,.,.,.,"S D ENTERPRISES, ","500/12, OPPOSITE JAYANTI COMPLEX,  MARHATAL, ,JABALPUR (MADHYA PRADESH) ,PIN-482002 ,0761-4064258 ,mukeshkumarjainca@rediffmail.com",India,523.35,0.00,USD,0.00,,0.00,,15.00,CTN,Dawat Brown Basmati Rice Jar,0.00,,,,,,Apapa,STARTRACK TERMINAL ICD (INSTT6),,,0.00,,,,,,,,,0,0
25,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),AUKLET TRADERSLTD.,.,New Zealand,New Zealand,.,.,.,.,JACOB AND RICHARD INTERNATIONAL PRIVATE LIMITED,"IV-64/A, AERATH BUILDING,  RAMAPURAM BAZAR.P.O, ,KOTTAYAM,KERALA- ,PIN-686576 ,0482 2263797 2263497 ,sonyaeram@gmail.com",India,99.00,0.00,USD,0.00,,0.00,,120.00,KGS,10 PKGS IDDLI RICE (1KG X 12 PKT),0.00,,,,,,AUCKLAND,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
26,30-01-2019,10063010,"Rice, parboiled",ABDUL RAHMAN ABOOD UMER,.,Saudi Arabia,Saudi Arabia,.,.,.,.,GAYATHRI EXIM RICE MILL," , , , ,",India,7500.00,0.00,USD,0.00,,0.00,,12.50,MTS,05 KG X 2500 BAGS - KURUVA RICE,0.00,,,,,,DAMMAM,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
27,30-01-2019,10063020,Basmati Rice,THE NATIONAL COMMER,.,Saudi Arabia,Saudi Arabia,.,.,.,.,AL MAHA FOODS INTERNATIONAL PRIVATE LIMITED,"1122,DLF, TOWER -A, JASOLA   ,NEW DELHI ,PIN-110076 , ,",India,372096.00,0.00,USD,0.00,,0.00,,364.80,MTS,AL WALIMAH STYLE  BRAND CREAMY SELLA  BA SMATI RICE PKD IN 9120 JUTE BAGS OF 40KG S NET EACH,0.00,,,,,,Jeddah,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
28,30-01-2019,10063020,Basmati Rice,SILPO FOOD LLC.,.,Ukraine,Ukraine,.,.,.,.,LT FOODS LIMITED,"A-21, GREEN PARK,AUTOBINDO MARG,   ,NEW DELHI ,110016 , ,",India,9734.00,0.00,USD,0.00,,0.00,,310.00,CTN,DAAWAT  PULAV  BASMATI RICE 6.2MT 310 CT N 20X1 KG PP CTN  (L > 6.61MM & L/B> 3.5 MM),0.00,,,,,,Odessa,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
29,30-01-2019,10063010,"Rice, parboiled",NEW FAME FOODSLTD.,"403 Alexandra Avenue, HA2 9SG ",United Kingdom,United Kingdom,.,.,.,.,BHA TRADING," , , , ,",India,1909.07,0.00,GBP,0.00,,0.00,,3500.00,KGS,IDLY RICE,0.00,,,,,,Felixstowe,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
30,30-01-2019,10063020,Basmati Rice,BARKAT FOOD STORE BOLTONLTD.,.,United Kingdom,United Kingdom,.,.,.,.,JINDAL INDUSTRIES,"SIRSA ROAD,   ,FATEHABAD/HARYANA / ,125050 ,01667223613 ,lordnaresh@sify.com",India,4125.00,0.00,GBP,0.00,,0.00,,5.00,MTS,CREAMY SELLA RICE PACKED IN 10KG PP BAG,0.00,,,,,,Bolton,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
31,30-01-2019,10063020,Basmati Rice,TILDALTD.,"Coldharbour Lane, Rainham | RM13 9YQ",United Kingdom,Essex,.,.,.,https://www.tilda.com,FORTUNE RICE LIMITED,"F-22/35,GR.FLOOR, SECTOR-3,ROHINI   ,DELHI ,110085 , ,",India,148500.00,0.00,USD,0.00,,0.00,,125.00,MTS,INDIAN BASMATI RICE,0.00,,,,,,London,PALWAL ICD (INPWL6),,,0.00,,,,,,,,,0,0
32,30-01-2019,10063020,Basmati Rice,TILDALTD.,"Coldharbour Lane, Rainham | RM13 9YQ",United Kingdom,Essex,.,.,.,https://www.tilda.com,FORTUNE RICE LIMITED,"F-22/35,GR.FLOOR, SECTOR-3,ROHINI   ,DELHI ,110085 , ,",India,424500.00,0.00,USD,0.00,,0.00,,500.00,MTS,BASMATI PUSA PARBOILED BROWN RICE PKD.IN,0.00,,,,,,LONDON GATWAY PORT,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
33,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),"SPICY WORLD OF USA, INC.","10421 SOUTHWEST PLAZA DR, HOUSTON TX 77074 US ",United States,United States,.,.,spicyworldofusa@gmail.com,www.spicyworldofusa.com,MEHROTRA CONSUMER PRODUCTS PRIVATE LIMITED,"MEHROTRA HOUSE OPPOSITE CIRCUIT     HOUSE NIRYAT NAGAR DELHI ROAD      ,MORADABAD ,0 ,05912483151 ,rohitmehrotra@mehrotrainpexindia.com",India,3432.24,0.00,USD,0.00,,0.00,,2724.00,KGS,ORGANIC SONAMASURI RICE BROWN,0.00,,,,,,Houston,CMA CGM LOGISTICS PARK ICD (INCPL6),,,0.00,,,,,,,,,0,0
34,30-01-2019,10063010,"Rice, parboiled",R R CP L,.,South African Republic,South Africa,.,.,.,.,AL GYAS EXPORTS PRIVATE LIMITED,"WORLD TRADE CENTRE,1704-,CENTRE - 1, CUFFE PARADE   ,MUMBAI,MAHARASHTRA ,400005 ,22151289,FAX NO. 3743310 ,age@vsnl.com",India,48750.00,0.00,USD,0.00,,0.00,,130.00,MTS,INDIAN PARBOILED RICE CROP YEAR 2018,0.00,,,,,,Durban,KAKINADA SEA (INKAK1),,,0.00,,,,,,,,,0,0
35,30-01-2019,10063010,"Rice, parboiled",WALQ GENERAL TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,ANANDHA MODERN RICE MILL,"423-1/B, MADRAS - TRICHY ROAD,VIKRAVANDI, VILLUPURAM DISTRICT,   ,TAMILNADU ,605652 ,04146-233207 ,",India,23604.72,0.00,USD,0.00,,0.00,,50.01,MTS,RICE- SONA MASORI RICE (NON- BASMATHI),0.00,,,,,,Jebel Ali,KATTUPALLI PORT SEA (INKAT1),,,0.00,,,,,,,,,0,0
36,30-01-2019,10063020,Basmati Rice,WOOLWORTHS GROUP LTD (USD),.,Australia,AU - Australia,.,.,.,.,LT FOODS LIMITED,"A-21, GREEN PARK,AUTOBINDO MARG,   ,NEW DELHI ,110016 , ,",India,25923.50,0.00,USD,0.00,,0.00,,1865.00,CTN,WOW SELECT  BASMATI RICE 18.65MT 1865  C TN  2X5 KG  PP  CARTON  (L> 6.61 MM & L/ B> 3.5 MM),0.00,,,,,,Melbourne,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
37,30-01-2019,10063020,Basmati Rice,BAJARIA GLOBAL PTYLTD.,.,Australia,Australia,.,.,.,.,LT FOODS LIMITED,"A-21, GREEN PARK,AUTOBINDO MARG,   ,NEW DELHI ,110016 , ,",India,3758.00,0.00,USD,0.00,,0.00,,100.00,CTN,DAAWAT  SELECT  BASMATI RICE  2MT 100  C ARTON  2X10 KG PP  CARTON AUS    (L> 6.6 1 MM & L/B> 3.5 MM,0.00,,,,,,Brisbane,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
38,30-01-2019,10063020,Basmati Rice,BAJARIA GLOBAL PTYLTD.,.,Australia,Australia,.,.,.,.,LT FOODS LIMITED,"A-21, GREEN PARK,AUTOBINDO MARG,   ,NEW DELHI ,110016 , ,",India,4677.00,0.00,USD,0.00,,0.00,,200.00,CTN,DEVAAYA  BASMATI RICE  4MT 200  BAG  2X1 0 KG  PP  CARTON AUS    (L> 6.61 MM & L/ B> 3.5 MM),0.00,,,,,,Brisbane,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
39,30-01-2019,10063020,Basmati Rice,LT FOODS AMERICAS,.,Canada,Canada,.,.,.,.,LT FOODS LIMITED,"A-21, GREEN PARK,AUTOBINDO MARG,   ,NEW DELHI ,110016 , ,",India,32707.50,0.00,USD,0.00,,0.00,,5250.00,BAG,817 AGED INDIAN  BASMATI RICE  20.975MT 5250 BAG  8.8 LBS  L>6.61MM & L/B>3.5MM,0.00,,,,,,Vancouver,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
40,30-01-2019,10063010,"Rice, parboiled",S.K. TRADING GMBH,"Quellenstrasse, 8005 Zürich",Switzerland,Switzerland,+41 76 449 60 94,.,.,https://www.sk-international-trading.com,JAYACO,"451, KUNDRATHUR MAIN ROAD,GERUGAMBAKKAM,   ,CHENNAI/TAMILNADU - ,602101 ,23820023/23820187 ,jayaaco@md3.vsnl.net.in",India,242.50,0.00,CHF,0.00,,0.00,,25.00,CTN,PONNI PAR BOILED RICE - 1 KG X 12(NT.WT.,0.00,,,,,,ZURICH,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
41,30-01-2019,10063020,Basmati Rice,SEADA INTERNATIONAL TRADING CO,.,Egypt,Egypt,.,.,.,.,OM SHREE INTERNATIONAL PRIVATE LIMITED,"115,NEW INDIA INDUSTRIAL ESTATE,PLOT NO.33,OFF.MAHAKALI CAVES RD   ,ANDHERI(E)     ,MAHARASHTRA ,400093 ,2687 4851/65 fax:2687 4855 ,omshreeint@eth.net",India,172900.00,0.00,USD,0.00,,0.00,,182.00,MTS,CEREALS RICE OM 737 SELLA GOLDEN SORTEX,0.00,,,,,,Alexandra(Egypt),MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
42,30-01-2019,10063010,"Rice, parboiled",SARL. K.S.T,.,France,France,.,.,.,.,AISHWARYA OVERSEAS EXPORTERS,"T.C.21/441-2, NEDUMKADU ROAD,  KARAMANA.P.O., ,TRIVANDRUM - KERALA ,PIN-695002 ,0471 - 2341383 ,aishexpo@gmail.com",India,2750.00,0.00,EUR,0.00,,0.00,,5000.00,KGS,MATTA RICE(10 KG X 500 BAGS),0.00,,,,,,Le Havre,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
43,30-01-2019,10063020,Basmati Rice,BASTAN TEJARAT KEYHAN,.,Iran,Iran,.,.,.,https://keyhantrade.com,SHREE JAGDAMBA AGRICO EXPORTS PVT. LTD,"ARIAN PURA ROAD,GHARAUNDA,   ,KARNAL  /HRY/ ,132103 ,252261 ,",India,38400000.00,0.00,INR,0.00,,0.00,,480.00,MTS,"INDIAN 1121 BASMATI SELA RICE, PACKED IN ",0.00,,,,,,Chah-Bahar,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
44,30-01-2019,10063000,"Semi-milled or wholly milled rice, whether or not polished or glazed",KINTANA FOODSLTD.,16916 80100 Mombasa,Kenya,Kenya,.,.,.,.,MAC IMPEX. A/C. ROOP INTERNATIONAL GENER,MUMBA I- INDIA,India,14907999.80,0.00,KES,0.00,,0.00,,390000.00,kg,15X20 INDIAN WHITE RICE GRADE-3,0.00,,,,,,POR,,DOT COM CONSULTANTS LIMITED,3525 80100 MOMBASA,0.00,,,,,,,,,0,0
45,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),AL-MEHRATH GENERAL TRADING & CO,P.O.BOX 20759 - Safat 13068,Kuwait,Kuwait,+965 24824000,+965 24830363,info@alqaem.com,,BRAHMINS FOODS INDIA PVT. LTD,"IX/584, MINI INDL. ESTATE ROAD,  THODUPUZHA ,IDUKKI DIST. KERALA ,PIN-685584 ,0486 2223561 ,ho@brahminsgroup.com",India,2463.00,0.00,USD,0.00,,0.00,,300.00,NOS,10 KG MATTA VADI RICE,0.00,,,,,,Shuwaikh,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
46,30-01-2019,10063020,Basmati Rice,SARAFALLY ABDULALLY,"92, OLD MOOR STREET, COLOMBO - 12",Sri Lanka,Sri Lanka,.,.,.,.,PRATIK AGRO EXPORTS,"WARD NO. 18, HOUSE NO. 160-161  AT-VANSDA, TAL-VANSDA ,DIST-NAVSARI, GUJARAT ,PIN-396580 ,91-9998198011 ,bhavinshah14288@gmail.com",India,7380.00,0.00,USD,0.00,,0.00,,10.00,MTS,BASMATI RICE AS PER INVOICE,0.00,,,,,,COLOMBO,AHEMDABAD ICD (INSBI6),,,0.00,,,,,,,,,0,0
47,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),RUFADCOLTD.,.,Nigeria,Nigeria,.,.,.,.,"S D ENTERPRISES, ","500/12, OPPOSITE JAYANTI COMPLEX,  MARHATAL, ,JABALPUR (MADHYA PRADESH) ,PIN-482002 ,0761-4064258 ,mukeshkumarjainca@rediffmail.com",India,707.00,0.00,USD,0.00,,0.00,,50.00,CTN,Gatha Non Basmati - Idli Rice,0.00,,,,,,Apapa,STARTRACK TERMINAL ICD (INSTT6),,,0.00,,,,,,,,,0,0
